In : 63 , Out : 225 , Current : 60
In : 63 , Out : 59 , Current : 60
In : 225 , Out : 63 , Current : 60
In : 225 , Out : 63 , Current : 60
In : 239 , Out : 324 , Current : 242
In : 239 , Out : 240 , Current : 242
In : 239 , Out : 240 , Current : 242
In : 239 , Out : 324 , Current : 242
In : 324 , Out : 239 , Current : 242
In : 324 , Out : 240 , Current : 242
In : 324 , Out : 239 , Current : 242
In : 324 , Out : 240 , Current : 242
In : 240 , Out : 239 , Current : 242
In : 240 , Out : 324 , Current : 242
In : 240 , Out : 239 , Current : 242
In : 240 , Out : 324 , Current : 242
In : 239 , Out : 239 , Current : 241
In : 239 , Out : 208 , Current : 241
In : 239 , Out : 208 , Current : 241
In : 239 , Out : 294 , Current : 241
In : 239 , Out : 239 , Current : 241
In : 239 , Out : 294 , Current : 241
In : 208 , Out : 239 , Current : 241
In : 208 , Out : 239 , Current : 241
In : 294 , Out : 239 , Current : 241
In : 294 , Out : 239 , Current : 241
In : 239 , Out : 208 , Current : 241
In : 239 , Out : 208 , Current : 241
In : 239 , Out : 294 , Current : 241
In : 239 , Out : 294 , Current : 241
In : 236 , Out : 331 , Current : 238
In : 236 , Out : 331 , Current : 238
In : 96 , Out : 331 , Current : 238
In : 96 , Out : 331 , Current : 238
In : 331 , Out : 236 , Current : 238
In : 331 , Out : 96 , Current : 238
In : 331 , Out : 96 , Current : 238
In : 331 , Out : 236 , Current : 238
In : 270 , Out : 324 , Current : 273
In : 270 , Out : 323 , Current : 273
In : 270 , Out : 324 , Current : 273
In : 270 , Out : 323 , Current : 273
In : 324 , Out : 270 , Current : 273
In : 324 , Out : 323 , Current : 273
In : 324 , Out : 270 , Current : 273
In : 324 , Out : 323 , Current : 273
In : 323 , Out : 270 , Current : 273
In : 323 , Out : 324 , Current : 273
In : 323 , Out : 324 , Current : 273
In : 323 , Out : 270 , Current : 273
In : 263 , Out : 42 , Current : 309
In : 263 , Out : 207 , Current : 309
In : 263 , Out : 207 , Current : 309
In : 263 , Out : 42 , Current : 309
In : 42 , Out : 263 , Current : 309
In : 42 , Out : 263 , Current : 309
In : 42 , Out : 207 , Current : 309
In : 42 , Out : 207 , Current : 309
In : 263 , Out : 42 , Current : 309
In : 263 , Out : 42 , Current : 309
In : 207 , Out : 263 , Current : 309
In : 207 , Out : 42 , Current : 309
In : 207 , Out : 263 , Current : 309
In : 207 , Out : 42 , Current : 309
In : 148 , Out : 149 , Current : 147
In : 148 , Out : 104 , Current : 147
In : 148 , Out : 149 , Current : 147
In : 148 , Out : 104 , Current : 147
In : 149 , Out : 148 , Current : 147
In : 149 , Out : 104 , Current : 147
In : 149 , Out : 148 , Current : 147
In : 149 , Out : 104 , Current : 147
In : 104 , Out : 148 , Current : 147
In : 104 , Out : 149 , Current : 147
In : 104 , Out : 148 , Current : 147
In : 104 , Out : 149 , Current : 147
In : 219 , Out : 143 , Current : 298
In : 219 , Out : 143 , Current : 298
In : 219 , Out : 154 , Current : 298
In : 219 , Out : 154 , Current : 298
In : 143 , Out : 219 , Current : 298
In : 143 , Out : 154 , Current : 298
In : 143 , Out : 219 , Current : 298
In : 143 , Out : 154 , Current : 298
In : 154 , Out : 219 , Current : 298
In : 154 , Out : 143 , Current : 298
In : 154 , Out : 143 , Current : 298
In : 154 , Out : 219 , Current : 298
In : 14 , Out : 15 , Current : 13
In : 14 , Out : 15 , Current : 13
In : 15 , Out : 14 , Current : 13
In : 15 , Out : 16 , Current : 13
In : 15 , Out : 16 , Current : 13
In : 15 , Out : 14 , Current : 13
In : 16 , Out : 15 , Current : 13
In : 16 , Out : 15 , Current : 13
In : 228 , Out : 39 , Current : 230
In : 228 , Out : 39 , Current : 230
In : 39 , Out : 228 , Current : 230
In : 39 , Out : 229 , Current : 230
In : 39 , Out : 229 , Current : 230
In : 39 , Out : 228 , Current : 230
In : 229 , Out : 39 , Current : 230
In : 229 , Out : 39 , Current : 230
In : 39 , Out : 228 , Current : 230
In : 39 , Out : 229 , Current : 230
In : 39 , Out : 229 , Current : 230
In : 39 , Out : 228 , Current : 230
In : 81 , Out : 316 , Current : 84
In : 81 , Out : 316 , Current : 84
In : 82 , Out : 316 , Current : 84
In : 82 , Out : 316 , Current : 84
In : 316 , Out : 81 , Current : 84
In : 316 , Out : 82 , Current : 84
In : 316 , Out : 81 , Current : 84
In : 316 , Out : 82 , Current : 84
In : 316 , Out : 82 , Current : 84
In : 316 , Out : 82 , Current : 84
In : 35 , Out : 188 , Current : 37
In : 35 , Out : 108 , Current : 37
In : 35 , Out : 188 , Current : 37
In : 35 , Out : 108 , Current : 37
In : 188 , Out : 35 , Current : 37
In : 188 , Out : 35 , Current : 37
In : 108 , Out : 35 , Current : 37
In : 108 , Out : 35 , Current : 37
In : 7 , Out : 8 , Current : 6
In : 7 , Out : 9 , Current : 6
In : 7 , Out : 8 , Current : 6
In : 7 , Out : 9 , Current : 6
In : 8 , Out : 7 , Current : 6
In : 8 , Out : 9 , Current : 6
In : 8 , Out : 7 , Current : 6
In : 8 , Out : 9 , Current : 6
In : 9 , Out : 7 , Current : 6
In : 9 , Out : 8 , Current : 6
In : 9 , Out : 8 , Current : 6
In : 9 , Out : 7 , Current : 6
In : 110 , Out : 146 , Current : 112
In : 110 , Out : 146 , Current : 112
In : 146 , Out : 110 , Current : 112
In : 146 , Out : 234 , Current : 112
In : 146 , Out : 110 , Current : 112
In : 146 , Out : 234 , Current : 112
In : 186 , Out : 262 , Current : 223
In : 186 , Out : 94 , Current : 223
In : 186 , Out : 262 , Current : 223
In : 186 , Out : 94 , Current : 223
In : 262 , Out : 186 , Current : 223
In : 262 , Out : 186 , Current : 223
In : 94 , Out : 186 , Current : 223
In : 94 , Out : 186 , Current : 223
In : 25 , Out : 55 , Current : 54
In : 25 , Out : 55 , Current : 54
In : 55 , Out : 25 , Current : 54
In : 55 , Out : 53 , Current : 54
In : 55 , Out : 53 , Current : 54
In : 55 , Out : 25 , Current : 54
In : 53 , Out : 55 , Current : 54
In : 53 , Out : 55 , Current : 54
In : 220 , Out : 205 , Current : 221
In : 220 , Out : 205 , Current : 221
In : 220 , Out : 67 , Current : 221
In : 220 , Out : 67 , Current : 221
In : 205 , Out : 220 , Current : 221
In : 205 , Out : 67 , Current : 221
In : 205 , Out : 220 , Current : 221
In : 205 , Out : 67 , Current : 221
In : 67 , Out : 220 , Current : 221
In : 67 , Out : 205 , Current : 221
In : 67 , Out : 205 , Current : 221
In : 67 , Out : 220 , Current : 221
In : 0 , Out : 27 , Current : 2
In : 0 , Out : 27 , Current : 2
In : 0 , Out : 184 , Current : 2
In : 0 , Out : 184 , Current : 2
In : 27 , Out : 0 , Current : 2
In : 27 , Out : 184 , Current : 2
In : 27 , Out : 0 , Current : 2
In : 27 , Out : 184 , Current : 2
In : 184 , Out : 0 , Current : 2
In : 184 , Out : 27 , Current : 2
In : 184 , Out : 27 , Current : 2
In : 184 , Out : 0 , Current : 2
In : 181 , Out : 71 , Current : 215
